finding,filename
COVID-19,auntminnie-a-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg
COVID-19,auntminnie-b-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg
COVID-19,auntminnie-c-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg
COVID-19,auntminnie-d-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg
COVID-19,nejmc2001573_f1a.jpeg
COVID-19,nejmc2001573_f1b.jpeg
COVID-19,lancet-case2a.jpg
COVID-19,lancet-case2b.jpg
COVID-19,1-s2.0-S0140673620303706-fx1_lrg.jpg
COVID-19,nCoV-radiol.2020200269.fig1-day7.jpeg
COVID-19,nejmoa2001191_f1-PA.jpeg
COVID-19,nejmoa2001191_f1-L.jpeg
COVID-19,nejmoa2001191_f3-PA.jpeg
COVID-19,nejmoa2001191_f3-L.jpeg
COVID-19,nejmoa2001191_f4.jpeg
COVID-19,nejmoa2001191_f5-PA.jpeg
COVID-19,nejmoa2001191_f5-L.jpeg
COVID-19,ryct.2020200034.fig2.jpeg
COVID-19,ryct.2020200034.fig5-day0.jpeg
COVID-19,ryct.2020200034.fig5-day4.jpeg
COVID-19,ryct.2020200034.fig5-day7.jpeg
COVID-19,ryct.2020200028.fig1a.jpeg
COVID-19,jkms-35-e79-g001-l-a.jpg
COVID-19,jkms-35-e79-g001-l-b.jpg
COVID-19,jkms-35-e79-g001-l-c.jpg
COVID-19,jkms-35-e79-g001-l-d.jpg
COVID-19,jkms-35-e79-g001-l-e.jpg
COVID-19,radiol.2020200490.fig3.jpeg
COVID-19,1-s2.0-S0929664620300449-gr2_lrg-a.jpg
COVID-19,1-s2.0-S0929664620300449-gr2_lrg-b.jpg
COVID-19,1-s2.0-S0929664620300449-gr2_lrg-c.jpg
COVID-19,1-s2.0-S0929664620300449-gr2_lrg-d.jpg
COVID-19,1-s2.0-S0929664620300449-gr3_lrg-a.jpg
COVID-19,1-s2.0-S0929664620300449-gr3_lrg-b.jpg
COVID-19,1-s2.0-S0929664620300449-gr3_lrg-c.jpg
COVID-19,1-s2.0-S0929664620300449-gr3_lrg-d.jpg
COVID-19,covid-19-pneumonia-15-PA.jpg
COVID-19,covid-19-pneumonia-15-L.jpg
COVID-19,covid-19-pneumonia-2.jpg
COVID-19,covid-19-pneumonia-7-PA.jpg
COVID-19,covid-19-pneumonia-7-L.jpg
COVID-19,radiopaedia_org_covid-19-pneumonia-7_85703_0-dcm.nii.gz
COVID-19,covid-19-pneumonia-14-PA.png
COVID-19,covid-19-pneumonia-14-L.png
COVID-19,radiopaedia_org_covid-19-pneumonia-14_85914_0-dcm.nii.gz
COVID-19,covid-19-pneumonia-12.jpg
COVID-19,39EE8E69-5801-48DE-B6E3-BE7D1BCF3092.jpeg
COVID-19,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3.jpeg
COVID-19,DE488FE1-0C44-428B-B67A-09741C1214C0.jpeg
COVID-19,7C69C012-7479-493F-8722-ABC29C60A2DD.jpeg
COVID-19,44C8E3D6-20DA-42E9-B33B-96FA6D6DE12F.jpeg
COVID-19,3ED3C0E1-4FE0-4238-8112-DDFF9E20B471.jpeg
COVID-19,2C10A413-AABE-4807-8CCE-6A2025594067.jpeg
COVID-19,FC230FE2-1DDF-40EB-AA0D-21F950933289.jpeg
COVID-19,66298CBF-6F10-42D5-A688-741F6AC84A76.jpeg
COVID-19,E1724330-1866-4581-8CD8-CEC9B8AFEDDE.jpeg
COVID-19,925446AE-B3C7-4C93-941B-AC4D2FE1F455.jpeg
COVID-19,6A7D4110-2BFC-4D9A-A2D6-E9226D91D25A.jpeg
COVID-19,8FDE8DBA-CFBD-4B4C-B1A4-6F36A93B7E87.jpeg
COVID-19,9C34AF49-E589-44D5-92D3-168B3B04E4A6.jpeg
COVID-19,21DDEBFD-7F16-4E3E-8F90-CB1B8EE82828.jpeg
COVID-19,F2DE909F-E19C-4900-92F5-8F435B031AC6.jpeg
COVID-19,31BA3780-2323-493F-8AED-62081B9C383B.jpeg
COVID-19,1312A392-67A3-4EBF-9319-810CF6DA5EF6.jpeg
COVID-19,396A81A5-982C-44E9-A57E-9B1DC34E2C08.jpeg
COVID-19,23E99E2E-447C-46E5-8EB2-D35D12473C39.png
COVID-19,7AF6C1AF-D249-4BD2-8C26-449304105D03.jpeg
COVID-19,1B734A89-A1BF-49A8-A1D3-66FAFA4FAC5D.jpeg
COVID-19,CD50BA96-6982-4C80-AE7B-5F67ACDBFA56.jpeg
COVID-19,85E52EB3-56E9-4D67-82DA-DEA247C82886.jpeg
COVID-19,6CB4EFC6-68FA-4CD5-940C-BEFA8DAFE9A7.jpeg
COVID-19,01E392EE-69F9-4E33-BFCE-E5C968654078.jpeg
COVID-19,F63AB6CE-1968-4154-A70F-913AF154F53D.jpeg
COVID-19,2C26F453-AF3B-4517-BB9E-802CF2179543.jpeg
COVID-19,93FE0BB1-022D-4F24-9727-987A07975FFB.jpeg
COVID-19,B59DD164-51D5-40DF-A926-6A42DD52EBE8.jpeg
COVID-19,F4341CE7-73C9-45C6-99C8-8567A5484B63.jpeg
COVID-19,D5ACAA93-C779-4E22-ADFA-6A220489F840.jpeg
COVID-19,E63574A7-4188-4C8D-8D17-9D67A18A1AFA.jpeg
